group,q,kv,fused_ms,nvfp4_fa2_ms,fp8_fa2_ms,bf16_fa2_ms,fused_cosine,fused_vs_nvfp4_fa2_speedup,target_ms_for_2x,gap_to_target_ms,passes_2x,splits,split_kv_len
2,1024,262144,1.2212159633636475,3.953984022140503,3.536736011505127,2.472928047180176,0.9917619824409485,3.2377434792531496,1.9769920110702515,-0.755776047706604,True,40,6656
2,2048,8192,0.17881600558757782,0.28009599447250366,0.2481600046157837,0.17235200107097626,0.9915117025375366,1.566392189290474,0.14004799723625183,0.03876800835132599,False,2,6656
2,2048,32768,0.35766398906707764,1.0554239749908447,0.9375680088996887,0.6456639766693115,0.9913462400436401,2.9508812943226066,0.5277119874954224,-0.17004799842834473,True,5,6656
2,2048,65536,0.6855679750442505,2.0904319286346436,1.8562239408493042,1.2869759798049927,0.9929403066635132,3.0491971689601094,1.0452159643173218,-0.3596479892730713,True,10,6656
2,2048,131072,1.2208000421524048,4.144351959228516,3.701888084411621,2.5678720474243164,0.9900097846984863,3.3947835977475616,2.072175979614258,-0.851375937461853,True,20,6656
2,2048,262144,2.6227200031280518,8.257439613342285,7.424543857574463,5.141280174255371,0.9917868971824646,3.1484259103121364,4.128719806671143,-1.5059998035430908,True,40,6656
2,4096,8192,0.19846400618553162,0.6087039709091187,0.5207039713859558,0.36800000071525574,0.9900065064430237,3.0670748948808346,0.3043519854545593,-0.10588797926902771,True,2,6656
2,4096,32768,0.6800640225410461,2.4655680656433105,2.1335999965667725,1.4779200553894043,0.9919518828392029,3.6254940475027086,1.2327840328216553,-0.5527200102806091,True,5,6656
2,4096,65536,1.2137600183486938,4.930208206176758,4.235904216766357,2.9412479400634766,0.9930034279823303,4.061929979275679,2.465104103088379,-1.251344084739685,True,10,6656
2,4096,131072,2.4410240650177,9.829536437988281,8.454272270202637,5.914752006530762,0.990166962146759,4.026808493556169,4.914768218994141,-2.4737441539764404,True,20,6656
2,4096,262144,5.051360130310059,19.65235137939453,16.958911895751953,11.832351684570312,0.9919426441192627,3.89050688773367,9.826175689697266,-4.774815559387207,True,40,6656
4,128,8192,0.16979199647903442,0.05913599953055382,0.05407999828457832,0.04022400081157684,0.9915338158607483,0.34828496487969507,0.02956799976527691,0.14022399671375751,False,2,6656
4,128,32768,0.17283199727535248,0.1401599943637848,0.12783999741077423,0.09961599856615067,0.9913761615753174,0.8109609133341478,0.0700799971818924,0.10275200009346008,False,5,6656
4,128,65536,0.17798399925231934,0.2611199915409088,0.22944000363349915,0.16208000481128693,0.992911159992218,1.467098124763067,0.1305599957704544,0.04742400348186493,False,10,6656
4,128,131072,0.19740800559520721,0.4999360144138336,0.4429759979248047,0.3270080089569092,0.989991307258606,2.5325012169920393,0.2499680072069168,-0.052560001611709595,True,20,6656
4,128,262144,0.3675520122051239,0.974943995475769,0.9015359878540039,0.6527040004730225,0.9916786551475525,2.6525334186761875,0.4874719977378845,-0.11991998553276062,True,40,6656
4,256,8192,0.1709119975566864,0.09283199906349182,0.08160000294446945,0.061792001128196716,0.9914779663085938,0.5431567145115265,0.04641599953174591,0.12449599802494049,False,2,6656
4,256,32768,0.17584000527858734,0.26550400257110596,0.2343679964542389,0.16547200083732605,0.9913234114646912,1.5099180766655569,0.13275200128555298,0.04308800399303436,False,5,6656
4,256,65536,0.19219200313091278,0.5045440196990967,0.4514879882335663,0.3112959861755371,0.9928094744682312,2.625208184939013,0.25227200984954834,-0.06008000671863556,True,10,6656
4,256,131072,0.3550719916820526,0.9921919703483582,0.8792319893836975,0.6266559958457947,0.9900653958320618,2.7943402847634666,0.4960959851741791,-0.14102399349212646,True,20,6656
4,256,262144,0.68995201587677,1.9582719802856445,1.7568960189819336,1.2460479736328125,0.991752564907074,2.8382727134975205,0.9791359901428223,-0.28918397426605225,True,40,6656
4,512,8192,0.17241600155830383,0.14902399480342865,0.1363839954137802,0.09782399982213974,0.9915251731872559,0.8643280986482859,0.07451199740171432,0.09790400415658951,False,2,6656
4,512,32768,0.19209599494934082,0.5196160078048706,0.4618239998817444,0.3229759931564331,0.991342306137085,2.7049809546622914,0.2598080039024353,-0.06771200895309448,True,5,6656
4,512,65536,0.35702401399612427,1.0192960500717163,0.9015039801597595,0.6199039816856384,0.9929096102714539,2.85497896531627,0.5096480250358582,-0.1526240110397339,True,10,6656
4,512,131072,0.6892799735069275,2.011904001235962,1.7757760286331177,1.2454719543457031,0.9900932908058167,2.9188487676491905,1.005952000617981,-0.31667202711105347,True,20,6656
4,512,262144,1.2352639436721802,3.9863998889923096,3.5710721015930176,2.5017919540405273,0.9917579889297485,3.2271644529197383,1.9931999444961548,-0.7579360008239746,True,40,6656
4,1024,8192,0.17788800597190857,0.28806400299072266,0.2549760043621063,0.17798399925231934,0.9915106296539307,1.6193559617291606,0.14403200149536133,0.03385600447654724,False,2,6656
4,1024,32768,0.355648010969162,1.0674560070037842,0.9478399753570557,0.6535040140151978,0.9913437366485596,3.0014395528176947,0.5337280035018921,-0.1780799925327301,True,5,6656
4,1024,65536,0.6864320039749146,2.115488052368164,1.8799999952316284,1.2951680421829224,0.9929399490356445,3.08186104394613,1.057744026184082,-0.3713120222091675,True,10,6656
4,1024,131072,1.2328319549560547,4.179903984069824,3.7117760181427,2.589888095855713,0.9900105595588684,3.390489650488351,2.089951992034912,-0.8571200370788574,True,20,6656
4,1024,262144,2.6231040954589844,8.316736221313477,7.432703971862793,5.170207977294922,0.9917868375778198,3.1705704076750467,4.158368110656738,-1.535264015197754,True,40,6656
4,2048,8192,0.19785599410533905,0.6289920210838318,0.5473920106887817,0.37782400846481323,0.9900069832801819,3.179039502583656,0.3144960105419159,-0.11664001643657684,True,2,6656
4,2048,32768,0.684224009513855,2.48470401763916,2.147871971130371,1.4951039552688599,0.9919541478157043,3.6314189258055363,1.24235200881958,-0.5581279993057251,True,5,6656
4,2048,65536,1.2261760234832764,4.925727844238281,4.284832000732422,2.944159984588623,0.9930051565170288,4.017145784864927,2.4628639221191406,-1.2366878986358643,True,10,6656
4,2048,131072,2.4232959747314453,9.83471965789795,8.50153636932373,5.917407989501953,0.9901639819145203,4.058406303005498,4.917359828948975,-2.4940638542175293,True,20,6656
4,2048,262144,5.102528095245361,19.65350341796875,17.026880264282227,11.847840309143066,0.9919441342353821,3.851718805092378,9.826751708984375,-4.724223613739014,True,40,6656
4,4096,8192,0.3643519878387451,1.1164799928665161,0.9722560048103333,0.6687039732933044,0.9893179535865784,3.0642895610072745,0.5582399964332581,-0.19388800859451294,True,2,6656
4,4096,32768,1.205664038658142,4.780191898345947,4.161632061004639,2.8749120235443115,0.9909455180168152,3.9647793623057033,2.3900959491729736,-1.1844319105148315,True,5,6656
4,4096,65536,2.4118080139160156,9.644000053405762,8.377280235290527,5.779232025146484,0.9919681549072266,3.998659925566358,4.822000026702881,-2.4101920127868652,True,10,6656
4,4096,131072,4.950751781463623,19.533952713012695,16.898048400878906,11.733247756958008,0.9909891486167908,3.9456538269906445,9.766976356506348,-4.816224575042725,True,20,6656
4,4096,262144,9.891712188720703,39.23651123046875,33.907936096191406,23.55718421936035,0.9925974011421204,3.9666046162573614,19.618255615234375,-9.726543426513672,True,40,6656
6,128,8192,0.1703999936580658,0.07251200079917908,0.07094399631023407,0.0504320003092289,0.9914803504943848,0.425539926631017,0.03625600039958954,0.13414399325847626,False,2,6656
6,128,32768,0.1727360039949417,0.20307199656963348,0.18092800676822662,0.1268160045146942,0.991327702999115,1.175620553174196,0.10153599828481674,0.07120000571012497,False,5,6656
6,128,65536,0.18323199450969696,0.3834879994392395,0.3401600122451782,0.23446400463581085,0.992803692817688,2.092909595103188,0.19174399971961975,-0.00851200520992279,True,10,6656
6,128,131072,0.34489598870277405,0.7401599884033203,0.66348797082901,0.4761599898338318,0.9900637865066528,2.1460382626867216,0.37007999420166016,-0.02518400549888611,True,20,6656
6,128,262144,0.5258240103721619,1.4616960287094116,1.3309760093688965,0.9450560212135315,0.9917588829994202,2.779819863446077,0.7308480143547058,-0.20502400398254395,True,40,6656
6,256,8192,0.17151999473571777,0.11935999989509583,0.10950399935245514,0.07974400371313095,0.991569459438324,0.6958955431348319,0.05967999994754791,0.11183999478816986,False,2,6656
6,256,32768,0.18243199586868286,0.38684800267219543,0.34598401188850403,0.2396479994058609,0.9913692474365234,2.1205052371989295,0.19342400133609772,-0.010992005467414856,True,5,6656
6,256,65536,0.34467199444770813,0.7493119835853577,0.6711999773979187,0.464352011680603,0.9929113388061523,2.1739856897454994,0.37465599179267883,-0.029983997344970703,True,10,6656
6,256,131072,0.5252159833908081,1.4958399534225464,1.3209919929504395,0.9312959909439087,0.9900669455528259,2.8480472809783217,0.7479199767112732,-0.2227039933204651,True,20,6656
6,256,262144,0.9514560103416443,2.9507200717926025,2.6489920616149902,1.8657920360565186,0.9916960597038269,3.1012679931813896,1.4753600358963013,-0.523904025554657,True,40,6656
6,512,8192,0.17472000420093536,0.21315200626850128,0.18915200233459473,0.1356479972600937,0.9915170669555664,1.2199633765082074,0.10657600313425064,0.06814400106668472,False,2,6656
6,512,32768,0.3433600068092346,0.7772799730300903,0.6977599859237671,0.4806399941444397,0.991349995136261,2.263746381686015,0.38863998651504517,-0.04527997970581055,True,5,6656
6,512,65536,0.5193600058555603,1.541759967803955,1.3685120344161987,0.9423040151596069,0.9929371476173401,2.9685766143354817,0.7708799839019775,-0.25151997804641724,True,10,6656
6,512,131072,0.9518719911575317,3.056096076965332,2.7281599044799805,1.8980799913406372,0.9900137186050415,3.210616664168195,1.528048038482666,-0.5761760473251343,True,20,6656
6,512,262144,1.9049919843673706,6.0775041580200195,5.471648216247559,3.785696029663086,0.9917919635772705,3.190304320381852,3.0387520790100098,-1.1337600946426392,True,40,6656
6,1024,8192,0.18588800728321075,0.43769600987434387,0.3861120045185089,0.27132800221443176,0.9900044798851013,2.354622098925885,0.21884800493717194,-0.03295999765396118,True,2,6656
6,1024,32768,0.5167040228843689,1.703328013420105,1.4932479858398438,1.031775951385498,0.9919577240943909,3.296525550375453,0.8516640067100525,-0.3349599838256836,True,5,6656
6,1024,65536,0.9939839839935303,3.3638079166412354,2.9597439765930176,2.041951894760132,0.9930031895637512,3.384167120204957,1.6819039583206177,-0.6879199743270874,True,10,6656
6,1024,131072,1.8379839658737183,6.673759937286377,5.88431978225708,4.095808029174805,0.9901687502861023,3.631021848503388,3.3368799686431885,-1.4988960027694702,True,20,6656
6,1024,262144,3.827807903289795,13.319647789001465,11.754688262939453,8.172224044799805,0.9919442534446716,3.479706433949819,6.659823894500732,-2.8320159912109375,True,40,6656
